NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,건물명,도로조건,계약면적(㎡),전체주소,주택매매가격(만원)
137,부산광역시 남구 용호동,944,944,0,오륙도에스케이뷰,전세,84.9636,202508,12,"30,000",0,37,2008,오륙도로 85,202510~202710,신규,-,,,아파트,,,,부산광역시 남구 용호동 오륙도로 85,56000
140,부산광역시 남구 대연동,1893,1893,0,대연파크푸르지오,전세,59.8743,202508,12,"32,000",0,24,2018,홍곡로 360,202510~202710,신규,-,,,아파트,,,,부산광역시 남구 대연동 홍곡로 360,56300
146,부산광역시 해운대구 좌동,1386,1386,0,롯데2,전세,59.76,202508,12,"15,000",0,10,1998,좌동순환로 117,202510~202709,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로 117,32300
148,부산광역시 강서구 명지동,3231,3231,0,퀸덤1차링컨타운,전세,101.86,202508,12,"30,000",0,6,2009,명지오션시티10로 16,202509~202708,신규,-,,,아파트,,,,부산광역시 강서구 명지동 명지오션시티10로 16,37000
149,부산광역시 강서구 명지동,3399,3399,0,명지더웨스턴,전세,74.62,202508,12,"23,000",0,8,2018,명지국제7로 111,202509~202709,신규,-,,,아파트,,,,부산광역시 강서구 명지동 명지국제7로 111,38500
151,부산광역시 해운대구 좌동,1439,1439,0,벽산2,전세,59.73,202508,12,"19,500",0,22,1996,좌동순환로299번길 11,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로299번길 11,49500
152,부산광역시 해운대구 좌동,1323,1323,0,한라,전세,134.97,202508,12,"39,000",0,7,1996,좌동순환로 280,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로 280,36700
156,부산광역시 부산진구 전포동,587,587,0,서면롯데캐슬스카이,전세,84.8167,202508,12,"30,000",0,14,2004,전포대로275번길 20,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 전포대로275번길 20,15000
160,부산광역시 부산진구 초읍동,271-4,271,4,선경,전세,103.49,202508,12,"20,000",0,12,1982,새싹로 221,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 초읍동 새싹로 221,48000
161,부산광역시 부산진구 전포동,876-4,876,4,전포동에메랄드홈,전세,84.525,202508,12,"26,000",0,19,2006,중앙대로 786,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 중앙대로 786,32500
168,부산광역시 중구 부평동4가,2월 2일,2,2,대근하버빌타운,전세,84.7,202508,12,"16,000",0,9,2004,대청로 32,202509~202709,신규,-,,,아파트,,,,부산광역시 중구 부평동4가 대청로 32,24700
175,부산광역시 부산진구 연지동,415,415,0,래미안어반파크1단지,전세,114.84,202508,11,"70,000",0,18,2022,성지로 37,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 연지동 성지로 37,76500
176,부산광역시 부산진구 범천동,974-16,974,16,가야누리애더센트리즈,전세,50.1922,202508,11,"17,000",0,15,2020,범천로 16,202510~202709,신규,-,,,아파트,,,,부산광역시 부산진구 범천동 범천로 16,20300
178,부산광역시 부산진구 연지동,Apr.41,41,4,연지에코팰리스,전세,70.144,202508,11,"30,000",0,26,2020,동평로 281,202508~202708,신규,-,,,아파트,,,,부산광역시 부산진구 연지동 동평로 281,41000
195,부산광역시 해운대구 우동,1388-1,1388,1,경남마리나,전세,84.93,202508,11,"29,500",0,4,1996,해운대해변로 99,202508~202708,신규,-,,,아파트,,,,부산광역시 해운대구 우동 해운대해변로 99,92500
196,부산광역시 남구 문현동,18,18,0,광원문현맨션,전세,84.96,202508,11,"13,700",0,5,1991,고동골로97번길 67,202509~202708,신규,-,,,아파트,,,,부산광역시 남구 문현동 고동골로97번길 67,21700
197,부산광역시 북구 구포동,1060-188,1060,188,구포2차봄여름가을겨울,전세,50.39,202508,11,"14,000",0,6,2019,가람로 32,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 구포동 가람로 32,17500
206,부산광역시 남구 대연동,1872,1872,0,대연롯데캐슬레전드1단지,전세,59.96,202508,11,"33,000",0,17,2018,수영로 135,202508~202708,신규,-,,,아파트,,,,부산광역시 남구 대연동 수영로 135,20300
207,부산광역시 북구 만덕동,911-3,911,3,럭키2,전세,84.94,202508,11,"14,000",0,10,1992,덕천로234번길 34,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 만덕동 덕천로234번길 34,17700
208,부산광역시 해운대구 우동,1527,1527,0,해운대자이1단지,전세,84.9493,202508,11,"47,000",0,7,2013,해운대로 435,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 우동 해운대로 435,74000
209,부산광역시 기장군 정관읍 모전리,776,776,0,정관동일스위트2차,전세,78.5355,202508,11,"21,000",0,5,2013,정관3로 23,202510~202710,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 모전리 정관3로 23,25000
210,부산광역시 기장군 기장읍 내리,776,776,0,동부산동원로얄듀크,전세,84.74,202508,11,"25,000",0,5,2009,기장대로 67,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 기장읍 내리 기장대로 67,34500
219,부산광역시 연제구 거제동,714-144,714,144,유림아시아드,전세,130.89,202508,11,"30,000",0,25,2001,해맞이로 23,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 거제동 해맞이로 23,52500
220,부산광역시 기장군 일광읍 삼성리,820,820,0,일광신도시비스타동원1차,전세,104.2061,202508,11,"40,000",0,17,2020,해빛2로 24,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 일광읍 삼성리 해빛2로 24,61800
225,부산광역시 기장군 정관읍 매학리,723,723,0,정관2차동원로얄듀크,전세,59.997,202508,11,"22,000",0,9,2013,정관5로 12,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 매학리 정관5로 12,25000
227,부산광역시 기장군 정관읍 방곡리,405,405,0,정관가화만사성더테라스2차,전세,60.1758,202508,11,"22,000",0,2,2018,구연방곡로 106,202508~202708,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 방곡리 구연방곡로 106,37000
228,부산광역시 해운대구 좌동,1302,1302,0,동신,전세,55.68,202508,11,"19,000",0,1,1996,좌동순환로217번길 7,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로217번길 7,41700
229,부산광역시 해운대구 좌동,1333,1333,0,대우,전세,59.946,202508,11,"21,000",0,7,1996,세실로 19,202508~202708,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 세실로 19,38500
233,부산광역시 사하구 다대동,120-1,120,1,다대포현대,전세,78.3,202508,11,"15,000",0,7,1993,다대로 473,202509~202709,신규,-,,,아파트,,,,부산광역시 사하구 다대동 다대로 473,20500
236,부산광역시 사하구 신평동,674,674,0,사하코오롱하늘채,전세,84.8943,202508,11,"27,000",0,18,2021,신산북로 41,202510~202710,신규,-,,,아파트,,,,부산광역시 사하구 신평동 신산북로 41,26400
241,부산광역시 금정구 장전동,717,717,0,벽산블루밍장전디자인시티2단지,전세,84.99,202508,11,"35,000",0,2,2012,금강로 225,202509~202709,신규,-,,,아파트,,,,부산광역시 금정구 장전동 금강로 225,48000
242,부산광역시 강서구 명지동,3234,3234,0,명지두산위브포세이돈,전세,84.9819,202508,10,"24,000",0,9,2013,명지오션시티11로 22,202511~202711,신규,-,,,아파트,,,,부산광역시 강서구 명지동 명지오션시티11로 22,36000
245,부산광역시 해운대구 반여동,1600-1,1600,1,그린파크,전세,47.68,202508,10,"6,000",0,4,1988,재반로270번길 13,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 반여동 재반로270번길 13,9000
