NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
161,부산광역시 부산진구 전포동,876-4,876.0,4.0,전포동에메랄드홈,전세,84.525,202508,"26,000",19.0,2006.0,중앙대로 786,202510~202710,아파트,부산광역시 부산진구 전포동 중앙대로 786,32500
168,부산광역시 중구 부평동4가,2월 2일,2.0,2.0,대근하버빌타운,전세,84.7,202508,"16,000",9.0,2004.0,대청로 32,202509~202709,아파트,부산광역시 중구 부평동4가 대청로 32,24700
175,부산광역시 부산진구 연지동,415,415.0,0.0,래미안어반파크1단지,전세,114.84,202508,"70,000",18.0,2022.0,성지로 37,202509~202709,아파트,부산광역시 부산진구 연지동 성지로 37,76500
176,부산광역시 부산진구 범천동,974-16,974.0,16.0,가야누리애더센트리즈,전세,50.1922,202508,"17,000",15.0,2020.0,범천로 16,202510~202709,아파트,부산광역시 부산진구 범천동 범천로 16,20300
178,부산광역시 부산진구 연지동,Apr.41,41.0,4.0,연지에코팰리스,전세,70.144,202508,"30,000",26.0,2020.0,동평로 281,202508~202708,아파트,부산광역시 부산진구 연지동 동평로 281,41000
195,부산광역시 해운대구 우동,1388-1,1388.0,1.0,경남마리나,전세,84.93,202508,"29,500",4.0,1996.0,해운대해변로 99,202508~202708,아파트,부산광역시 해운대구 우동 해운대해변로 99,92500
196,부산광역시 남구 문현동,18,18.0,0.0,광원문현맨션,전세,84.96,202508,"13,700",5.0,1991.0,고동골로97번길 67,202509~202708,아파트,부산광역시 남구 문현동 고동골로97번길 67,21700
197,부산광역시 북구 구포동,1060-188,1060.0,188.0,구포2차봄여름가을겨울,전세,50.39,202508,"14,000",6.0,2019.0,가람로 32,202508~202708,아파트,부산광역시 북구 구포동 가람로 32,17500
206,부산광역시 남구 대연동,1872,1872.0,0.0,대연롯데캐슬레전드1단지,전세,59.96,202508,"33,000",17.0,2018.0,수영로 135,202508~202708,아파트,부산광역시 남구 대연동 수영로 135,20300
207,부산광역시 북구 만덕동,911-3,911.0,3.0,럭키2,전세,84.94,202508,"14,000",10.0,1992.0,덕천로234번길 34,202508~202708,아파트,부산광역시 북구 만덕동 덕천로234번길 34,17700
208,부산광역시 해운대구 우동,1527,1527.0,0.0,해운대자이1단지,전세,84.9493,202508,"47,000",7.0,2013.0,해운대로 435,202509~202709,아파트,부산광역시 해운대구 우동 해운대로 435,74000
209,부산광역시 기장군 정관읍 모전리,776,776.0,0.0,정관동일스위트2차,전세,78.5355,202508,"21,000",5.0,2013.0,정관3로 23,202510~202710,아파트,부산광역시 기장군 정관읍 모전리 정관3로 23,25000
